,CCC Course,CCC Description,UCSC Course Code,UCSC Course Title,UCSC Description
143,"CS 12J Introduction to Programming Concepts and Methodology, Java","Presents an introduction to computer programming using Java, beginning with basic principles and progressing to object-oriented programs and visual programming. Includes: algorithms, primitive and complex data types, declarations, expressions, selection, repetition, methods, recursion, libraries, arrays, classes, objects, encapsulation, components, events, files and streams. May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",CSE 5J,Introduction to Programming in Java,"Introduces programming in Java for students who have no prior programming experience. Students learn programming and documentation skills, as well as algorithmic problem-solving, and programming methodologies. Introduces computers, compilers, and editors. Students write small to medium-sized programs. This course and CSE 5C and CSE 5P cover similar concepts, but use different programming languages. Because CSE 5J followed by CSE 11 is a two-quarter alternative to the accelerated course CSE 12A and CSE 12L, engineering majors and students planning on continuing the programming sequence are encouraged to take CSE 5J rather than CSE 5C or CSE 5P. Students may not receive credit for CSE 5J taken concurrently or subsequently to CSE 12A, CSE 12B, or Computer Engineering 13. (Formerly CMPS 5J.)"
144,MATH 6 Introduction to Linear Algebra,"Introduces linear algebra, including vectors in n-dimensional R, matrices, row reductions, inverse matrices, determinants, vector spaces, basis, change of basis, linear independence, transformations, eigenvalues, eigenvectors, and the Gram-Schmidt process. May not be taken Pass/No Pass. May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",AM 10,Linear Algebra for Engineers,"Applications-oriented course on complex numbers and linear algebra integrating Matlab as a computational support tool. Introduction to complex algebra. Vectors, bases and transformations, matrix algebra, solutions of linear systems, inverses and determinants, eigenvalues and eigenvectors, and geometric transformations. Students cannot receive credit for this course and MATH 21 . (Formerly Mathematical Methods for Engineers I.)"
145,MATH 7 Introduction to Differential Equations,"Presents an introductory course in Differential Equations: first order, second order, homogeneous, nonhomogeneous, variation of parameters, applications, simple linear systems with constant coefficients, Laplace transforms, and power series solutions. May not be taken Pass/No Pass. May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",AM 20,Ordinary Differential Equations for Engineers,Applications-oriented class on ordinary differential equations (ODEs) and systems of ODEs using Matlab as a computational support tool. Covers linear ODEs and systems of linear ODEs; nonlinear ODEs using substitution and Laplace transforms; phase-plane analysis; introduction to numerical methods. Students cannot receive credit for this course and MATH 24 . (Formerly Mathematical Methods for Engineers II.)
146,PHYS 4A Physics for Scientists and Engineers I,"Covers classical mechanics, fluids, and waves for scientists and engineers. This is the first course in the calculus-based physics sequence. Some of the class hours for this course may be scheduled as To Be Arranged (TBA). May be offered in a distance-learning format.",PHYS 5A,Introduction to Physics I,"Elementary mechanics. Vectors, Newton's laws, inverse square force laws, work and energy, conservation of momentum and energy, and oscillations."
147,PHYS 4A Physics for Scientists and Engineers I,"Covers classical mechanics, fluids, and waves for scientists and engineers. This is the first course in the calculus-based physics sequence. Some of the class hours for this course may be scheduled as To Be Arranged (TBA). May be offered in a distance-learning format.",PHYS 5L,Introduction to Physics I Laboratory,Laboratory sequence illustrating topics covered in PHYS 5A and PHYS 15A . One three-hour laboratory session per week.
148,PHYS 4B Physics for Scientists and Engineers II,"Covers electricity and magnetism for scientists and engineers. This is the second course in the calculus-based physics sequence. Students enrolled in the Honors Transfer Program may count this course towards the ""Honors Scholar"" designation with an Honors Contract. Fall semester and alternating summers. Some of the class hours for this course may be scheduled as To Be Arranged (TBA). May be offered in a distance-learning format.",PHYS 5C,Introduction to Physics III,"Introduction to electricity and magnetism. Electromagnetic radiation, Maxwell's equations."
149,PHYS 4B Physics for Scientists and Engineers II,"Covers electricity and magnetism for scientists and engineers. This is the second course in the calculus-based physics sequence. Students enrolled in the Honors Transfer Program may count this course towards the ""Honors Scholar"" designation with an Honors Contract. Fall semester and alternating summers. Some of the class hours for this course may be scheduled as To Be Arranged (TBA). May be offered in a distance-learning format.",PHYS 5N,Introduction to Physics Laboratory III,Laboratory sequence illustrating topics covered in PHYS 5C and PHYS 15C . One three-hour laboratory session per week.
150,MATH 5C Analytic Geometry and Calculus III,"Presents vector-valued functions, calculus of functions of more than one variable, partial derivatives, multiple integrations, Green&#39;s Theorem, Stokes&#39;s Theorem, and the divergence theorem. Designed for majors in mathematics, engineering, and physical sciences. May not be taken pass/no pass. May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",AM 30,Multivariate Calculus for Engineers,"Advanced multivariate calculus for engineering majors. Coordinate systems, parametric curves, and surfaces; partial derivatives, gradient, Taylor expansion, stationary points, constrained optimization; integrals in multiple dimensions; integrals over curves and surfaces. Applications to engineering form an integral part of the course. Students cannot receive credit for this course and for MATH 22 or MATH 23A ."
151,ENGR 15 Circuits,"Analyzes the DC and AC electrical circuits containing resistors, capacitors, inductors, dependent sources, operational amplifiers, and/or switches. Basic circuit laws, network theorems, and computer analysis are used to solve DC steady-state circuits, RC, RL, and RLC DC transient circuits, and sinusoidal AC steady-state circuits. Power and energy analysis is performed throughout the course. May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",ECE 101,Introduction to Electronic Circuits,"Introduction to the physical basis and mathematical models of electrical components and circuits. Topics include circuit theorems (Thevenin and Norton Equivalents, Superposition), constant and sinusoidal inputs, natural and forced response of linear circuits. Introduction to circuit/network design, maximum power transfer, analog filters, and circuit analysis using Matlab. Topics in elementary electronics including amplifiers and feedback. (Formerly EE 101.)"
152,ENGR 15 Circuits,"Analyzes the DC and AC electrical circuits containing resistors, capacitors, inductors, dependent sources, operational amplifiers, and/or switches. Basic circuit laws, network theorems, and computer analysis are used to solve DC steady-state circuits, RC, RL, and RLC DC transient circuits, and sinusoidal AC steady-state circuits. Power and energy analysis is performed throughout the course. May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",ECE 101L,Introduction to Electronic Circuits Laboratory,Illustrates topics covered in ECE 101 . One two-hour laboratory session per week.
153,CS 23 Discrete Mathematics,"Presents discrete mathematical systems including methods of proof that shape the foundations of computer science. Includes propositional logic, set and number theory, Boolean algebra, deductive and inductive proof, functions and relations, combinatorics, discrete probability, graph theory and network models, and efficiency of algorithms. Math majors should enroll in MATH 23 (identical to CS 23). May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",CSE 16,Applied Discrete Mathematics,"Introduction to applications of discrete mathematical systems. Topics include sets, functions, relations, graphs, predicate calculus, mathematical proof methods (induction, contraposition, contradiction), counting methods (permutations, combinations), and recurrences. Examples are drawn from computer science and computer engineering. Knowledge of computer programming is useful before taking this course. Students who do not have prior programming experience are strongly recommended to take CSE 20 or CSE 30 before taking this course."
154,MATH 23 Discrete Mathematics,"Presents discrete mathematical systems including methods of proof that shape the foundations of computer science. Includes propositional logic, set and number theory, Boolean algebra, deductive and inductive proof, functions and relations, combinatorics, discrete probability, graph theory and network models, and efficiency of algorithms. Math majors should enroll in MATH 23 (identical to CS 23). May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",CSE 16,Applied Discrete Mathematics,"Introduction to applications of discrete mathematical systems. Topics include sets, functions, relations, graphs, predicate calculus, mathematical proof methods (induction, contraposition, contradiction), counting methods (permutations, combinations), and recurrences. Examples are drawn from computer science and computer engineering. Knowledge of computer programming is useful before taking this course. Students who do not have prior programming experience are strongly recommended to take CSE 20 or CSE 30 before taking this course."
155,PHYS 4C Physics for Scientists and Engineers III,"Covers thermodynamics, optics, and introduction to modern physics for scientists and engineers. This is the third course in the calculus-based physics sequence. Spring semester and alternate summers. Some of the class hours for this course may be scheduled as To Be Arranged (TBA). May be offered in a distance-learning format.",PHYS 5B,Introduction to Physics II,"A continuation of PHYS 5A . Wave motion in matter, including sound waves. Geometrical optics, interference and polarization, statics and dynamics of fluids."
156,PHYS 4C Physics for Scientists and Engineers III,"Covers thermodynamics, optics, and introduction to modern physics for scientists and engineers. This is the third course in the calculus-based physics sequence. Spring semester and alternate summers. Some of the class hours for this course may be scheduled as To Be Arranged (TBA). May be offered in a distance-learning format.",PHYS 5D,Introduction to Physics IV,"Introduces temperature, heat, thermal conductivity, diffusion, ideal gases, laws of thermodynamics, heat engines, and kinetic theory. Introduces the special theory of relativity and the equivalence principle. Includes the photoelectric effect, the Compton effect, matter waves, atomic spectra, and the Bohr model."
157,PHYS 4C Physics for Scientists and Engineers III,"Covers thermodynamics, optics, and introduction to modern physics for scientists and engineers. This is the third course in the calculus-based physics sequence. Spring semester and alternate summers. Some of the class hours for this course may be scheduled as To Be Arranged (TBA). May be offered in a distance-learning format.",PHYS 5M,Introduction to Physics II Laboratory,Laboratory sequence illustrating topics covered in PHYS 5B. One three-hour laboratory session per week.
158,DANCE 7 Ballet I,"Introduces basic techniques and principles of ballet through barre, center floor work, and across-the-floor combinations while acquainting the student with the aesthetics, history, and tradition of classical ballet. May be offered in a distance-learning format. CAB GE E, CSU GE E (Beg. F&#39;13- may be used to meet Area E if combined with other non-activity Area E units from the CG or NUTR (CAHM) departments). Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",THEA 31B,Dance Studio I: Ballet,Introduces classical ballet as a form of ethnic dance. Focus on combining basic training in ballet technique with academic studies to achieve a synthesis in the understanding of dance as a performing arts practice in diverse socio-cultural and historical contexts. Emphasis on simple phrasing and articulation into more complex material requiring richer dynamic range. Attention to the anatomical principles that governs ballet mechanics.
159,DANCE 18A African Dance I,"Introduces African dances from various regions in Africa including their social, historical, and cultural significance. May be offered in a distance-learning format. CAB GE E, CSU GE E (Beg. F&#39;13- may be used to meet Area E if combined with other non-activity Area E units from the CG or NUTR (CAHM) departments). Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",THEA 37,African Dance,"A griot (musician-entertainer from western Africa) from Burkina Faso teaches The African Journey, which emphasizes dance as combined in Africa, including singing, history, oral tradition, and storytelling."
160,TA 27 Theatre Production Workshop,"Presents hands-on backstage preparation for the current Rehearsal and Performance or Musical Theatre Production stage production, including practical problem solving in scenery construction, lighting, props, costumes, make-up, sound, management, and public relations. Some of the class hours for this course may be scheduled as To Be Arranged (TBA). May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites: None Additional Requisite Information: None Toggle Additional Course Details Grade Options: Letter Grade Methods Pass/No Pass Fees: None Repeatability: This course may be taken no more than four times, including in any combination with the following course(s): TA 29, 122, 75, MUS 75. Toggle General Education and Transfer Options",THEA 50,Fundamentals of Theater Production,"Work is on various aspects of theatrical production, including scenery, lighting, costumes, sound, stage management, and video documentation. Satisfies the department's technical experience"
161,"ETHN 3 Race, Ethnicity, and Society","Examines the social, economic, political, and cultural dynamics of race and ethnicity in the United States. Utilizes theory to assess the comparative histories, cultures, and intellectual traditions of Native Americans, African Americans, Latino/as, and Asian Americans. Introduces major concepts used to understand the lived experiences of historically racialized groups such as social construction of race, racial formation, critical race theory, internal colonialism, and intersectionality. Emphasizes the role of resistance and agency in advancing the goals of self-determination, decolonization, and equity. May be offered in a distance-learning format. ETHN 3 and SOC 3 are cross-listed courses. Students may enroll in one course for credit, but not more than one. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites: None Additional Requisite Information: None Toggle Additional Course Details Grade Options: Pass/No Pass Letter Grade Methods Fees: None Repeatability: Not repeatable Toggle General Education and Transfer Options",CRES 10,Critical Race and Ethnic Studies: An Introduction,"Examines the concept of race, followed by an investigation of colorblindness, multiculturalism, and post-racialism. Race and ethnicity are examined as historically formulated in relationship to the concepts of gender, sexuality, class, nationalism, indigeneity, citizenship, immigration, and inequality."
162,ENGL 1BMC Composition and Literature: Multicultural Emphasis,"Introduces multicultural literature through reading, writing, and discussion to develop analytical skills. Students write a minimum of 6,000 words, focusing on literary interpretation and research. Not open to students who have completed ENGL 1B/1BH. May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",LIT 1,Literary Interpretation,"Close reading and analysis of literary texts, including representative examples of several different genres and periods. An introduction to practical criticism required of all literature majors; should be completed prior to upper-division work in literature."
163,ENGL 1BH Honors Composition and Literature,"Introduces literature through reading, writing, and discussion to develop critical and analytical skills. This honors course provides enhanced academic rigor with demands that exceed those of a standard version of the course. Honors section stresses rigorous literary scholarship. Students write a minimum of 8000 words, focusing on literary interpretation and research. Not open to students who have completed ENGL 1B/1BMC. May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: Honors standing required. Requisites:",LIT 1,Literary Interpretation,"Close reading and analysis of literary texts, including representative examples of several different genres and periods. An introduction to practical criticism required of all literature majors; should be completed prior to upper-division work in literature."
164,ENGL 1B Composition and Literature,"Introduces literature through reading, writing, and discussion to develop critical and analytical skills. Students write a minimum of 6,000 words, focusing on literary interpretation and research. May be offered in a distance-learning format. Not open to students who have completed ENGL 1BH/1BMC. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",LIT 1,Literary Interpretation,"Close reading and analysis of literary texts, including representative examples of several different genres and periods. An introduction to practical criticism required of all literature majors; should be completed prior to upper-division work in literature."
165,PSYCH 12 Introduction to Cognitive Psychology,"Provides an advanced consideration of mental processes, emphasizing perception, memory, problem-solving, decision-making, and the application of cognitive psychology to practical problems. May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",PSYC 20,Cognition: Fundamental Theories,"Introduces basic concepts in cognitive psychology with a focus on theoretical explanations of cognitive functioning. Topics include perception, attention, memory, concepts, language, visual cognition, executive functions, and reasoning processes. (Formerly course 20A.)"
166,PSYCH 8 Introduction to Developmental Psychology,"Explores the science of human development across the lifespan, from conception through death. Examines theories and research of physical, cognitive, personality, and social development. May be offered in a distance-learning format.",PSYC 10,Introduction to Developmental Psychology,Addresses psychological development from conception through adolescence. Provides an overview of developmental psychology.
167,ECE 31 Child Growth and Development,"Examines the major social and emotional, cognitive/language, and physical developmental milestones for children from conception through adolescence with an emphasis on non-judgmental observation. Focuses on the interaction between maturational processes and environmental factors. Students will observe children, evaluate individual differences, and analyze characteristics of development at various stages according to developmental theories. Critical, analytical written work is the primary means of evaluation. May be offered in Spanish or in a Bilingual Format. May be offered in a distance-learning format. Transfers to CSU; UC, with limits: ECE 31, 32, or PSYCH 8 combined: maximum credit--1 course. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites: None Additional Requisite Information: Corequisite: For sections taught in Spanish or in a bilingual format: concurrent enrollment in an appropriate ESL course required. Toggle Additional Course Details Grade Options: Letter Grade Methods Pass/No Pass Fees: None Repeatability: Not repeatable Toggle General Education and Transfer Options",PSYC 10,Introduction to Developmental Psychology,Addresses psychological development from conception through adolescence. Provides an overview of developmental psychology.
168,PSYCH 2A Statistics for Behavioral Sciences,"Examines probability techniques, hypothesis testing, and predictive techniques to facilitate behavioral science research. Topics include: descriptive statistics; probability and sampling distributions; statistical inference and power; correlation and linear regression; chi-square; t-tests; and analysis of variance. Applies both hand-computation and statistical software to data in a social science context, including interpretation of the statistical findings. May be offered in a distance-learning format.",PSYC 2,Introduction to Psychological Statistics,"An introduction to elementary statistical principles and techniques relevant to psychological research. Topics covered include basic parametric and nonparametric statistics, analysis of variance, and simple factorial designs. This course is"
169,MATH 12 Elementary Statistics,"This is an introduction to limits, differentiation, and integration of single and multivariate functions with applications in business, economics, and social sciences. Faculty Requirements Discipline 1 [Mathematics] FSA [FHDA FSA - MATHEMATICS] Course Family Not Applicable Course Justification This course is a major preparation in the discipline of various business-related majors for at least one CSU or UC. This course satisfies De Anza and Cal-GETC general education requirements. This course satisfies the mathematics proficiency requirement for the Liberal Arts A.A. degree. This course meets the needs of students in business-related majors who require a basic understanding of calculus and its applications to business without having to learn calculus at a more rigorous level. Foothill Equivalency Does the course have a Foothill equivalent? Yes Foothill Course ID MATH F012. Course Philosophy Formerly Statement Course Development Options Basic Skill Status (CB08) Course is not a basic skills course. Grade Options Letter Grade Pass/No Pass Repeat Limit 0 Transferability & Gen. Ed. Options Transferability Transferable to both UC and CSU De Anza GE Area(s) Status Details 2G2X De Anza GE Area 2 - Mathematical Concepts and Quantitative Reasoning Approved Cal-GETC Area(s) Status Details CA2X Cal-GETC Area 2 - Mathematics/Quantitative Reasoning Approved C-ID Area(s) Status Details MATH Mathematics Approved C-ID MATH 140 Units and Hours Summary Minimum Credit Units 5.0 Maximum Credit Units 5.0 Weekly Student Hours Type In Class Out of Class Lecture Hours 5.0 10.0 Laboratory Hours 0.0 0.0 Course Student Hours Course Duration (Weeks) 12.0 Hours per unit divisor 36.0 Course In-Class (Contact) Hours Lecture 60.0 Laboratory 0.0 Total 60.0 Course Out-of-Class Hours Lecture 120.0 Laboratory 0.0 NA 0.0 Total 120.0",PSYC 2,Introduction to Psychological Statistics,"An introduction to elementary statistical principles and techniques relevant to psychological research. Topics covered include basic parametric and nonparametric statistics, analysis of variance, and simple factorial designs. This course is"
170,BUS 9 Business Statistics,"Teaches the collection and presentation of data; measures of central tendency, dispersion, probability, sampling distributions, statistical inference, regression correlation, index numbers, time series analysis, and forecasting, Chi-Square Analysis. Applies both hand-computation and statistical software to data in a business context, including interpretation of the statistical findings. May be offered in a distance-learning format.",PSYC 2,Introduction to Psychological Statistics,"An introduction to elementary statistical principles and techniques relevant to psychological research. Topics covered include basic parametric and nonparametric statistics, analysis of variance, and simple factorial designs. This course is"
171,PHILO 4 Introduction to Philosophy,"Introduces major philosophical problems including questions regarding the nature of reality, the possibility of knowledge, and the nature of self, with emphasis on politics and ethics focusing on primary texts.  May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites: None Additional Requisite Information: None Toggle Additional Course Details Grade Options: Letter Grade Methods Pass/No Pass Fees: None Repeatability: Not repeatable Toggle General Education and Transfer Options",PHIL 11,Introduction to Philosophy,"An introduction to the main areas of philosophy through critical reflection on and analysis of both classical and contemporary texts. Focuses on central and enduring problems in philosophy such as skepticism about the external world, the mind-body problem, and the nature of morality."
172,PSYCH 2B Research Methods in Psychology,"Surveys various research methods with an emphasis on research design, experimental procedures, descriptive methods, instrumentation, and the collection, analysis, interpretation, and reporting of research data. Research design and methodology are examined through a review of research in a variety of disciplines. In laboratory sessions students will conduct experimental and non-experimental research. Data collected during laboratory sessions will be analyzed with statistical software. May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",SOCY 3A,The Evaluation of Evidence,"Introduces students to major types of date and data analysis used in sociology. Designed to give students a foundation in understanding social science research articles, reports, and media reports used in political and policy debates. Topics include: general principles of research design, measurement, inductive and deductive modes of reasoning, experimental design, field work and ethnographic design, and reading and understanding basic quantitative forms of data and analysis."
173,MATH 12 Elementary Statistics,"This is an introduction to limits, differentiation, and integration of single and multivariate functions with applications in business, economics, and social sciences. Faculty Requirements Discipline 1 [Mathematics] FSA [FHDA FSA - MATHEMATICS] Course Family Not Applicable Course Justification This course is a major preparation in the discipline of various business-related majors for at least one CSU or UC. This course satisfies De Anza and Cal-GETC general education requirements. This course satisfies the mathematics proficiency requirement for the Liberal Arts A.A. degree. This course meets the needs of students in business-related majors who require a basic understanding of calculus and its applications to business without having to learn calculus at a more rigorous level. Foothill Equivalency Does the course have a Foothill equivalent? Yes Foothill Course ID MATH F012. Course Philosophy Formerly Statement Course Development Options Basic Skill Status (CB08) Course is not a basic skills course. Grade Options Letter Grade Pass/No Pass Repeat Limit 0 Transferability & Gen. Ed. Options Transferability Transferable to both UC and CSU De Anza GE Area(s) Status Details 2G2X De Anza GE Area 2 - Mathematical Concepts and Quantitative Reasoning Approved Cal-GETC Area(s) Status Details CA2X Cal-GETC Area 2 - Mathematics/Quantitative Reasoning Approved C-ID Area(s) Status Details MATH Mathematics Approved C-ID MATH 140 Units and Hours Summary Minimum Credit Units 5.0 Maximum Credit Units 5.0 Weekly Student Hours Type In Class Out of Class Lecture Hours 5.0 10.0 Laboratory Hours 0.0 0.0 Course Student Hours Course Duration (Weeks) 12.0 Hours per unit divisor 36.0 Course In-Class (Contact) Hours Lecture 60.0 Laboratory 0.0 Total 60.0 Course Out-of-Class Hours Lecture 120.0 Laboratory 0.0 NA 0.0 Total 120.0",SOCY 3B,Statistical Methods,"Introduces basic quantitative data analysis found in sociological research and policy reports. Topics include: inferential statistics, such as probability distributions, sampling, and testing; and descriptive statistics, such as measures of association, bivariate, and multivariate analysis. (Formerly course 103A.)"
174,BUS 9 Business Statistics,"Teaches the collection and presentation of data; measures of central tendency, dispersion, probability, sampling distributions, statistical inference, regression correlation, index numbers, time series analysis, and forecasting, Chi-Square Analysis. Applies both hand-computation and statistical software to data in a business context, including interpretation of the statistical findings. May be offered in a distance-learning format.",SOCY 3B,Statistical Methods,"Introduces basic quantitative data analysis found in sociological research and policy reports. Topics include: inferential statistics, such as probability distributions, sampling, and testing; and descriptive statistics, such as measures of association, bivariate, and multivariate analysis. (Formerly course 103A.)"
175,MATH 12H Honors Elementary Statistics,"Presents the use of probability techniques, hypothesis testing, and predictive techniques to facilitate decision-making. Topics include descriptive statistics; probability and sampling distributions; statistical inference; correlation and linear regression; analysis of variance (ANOVA); chi-square and t-tests; and application of technology for statistical analysis including the interpretation of the relevance of statistical findings. This honors course provides enhanced academic rigor with demands that exceed those of a standard version of the course. May be offered in a distance-learning format.",SOCY 3B,Statistical Methods,"Introduces basic quantitative data analysis found in sociological research and policy reports. Topics include: inferential statistics, such as probability distributions, sampling, and testing; and descriptive statistics, such as measures of association, bivariate, and multivariate analysis. (Formerly course 103A.)"
176,PSYCH 2A Statistics for Behavioral Sciences,"Examines probability techniques, hypothesis testing, and predictive techniques to facilitate behavioral science research. Topics include: descriptive statistics; probability and sampling distributions; statistical inference and power; correlation and linear regression; chi-square; t-tests; and analysis of variance. Applies both hand-computation and statistical software to data in a social science context, including interpretation of the statistical findings. May be offered in a distance-learning format.",SOCY 3B,Statistical Methods,"Introduces basic quantitative data analysis found in sociological research and policy reports. Topics include: inferential statistics, such as probability distributions, sampling, and testing; and descriptive statistics, such as measures of association, bivariate, and multivariate analysis. (Formerly course 103A.)"
177,BIO 42T Advanced Biotechnology,"Presents a deeper understanding of the field of biotechnology and strengthens skills required to obtain employment in biotechnology. Topics include DNA, RNA, and protein technologies, bioinformatics, plant and agricultural technologies, mammalian cell culture, medical biotechnology, and emerging biotechnologies. This is a follow-up course to Biotechnology Fundamentals. May be offered in a distance-learning format. Transfer Information: Transferable to CSU only Limitations on Enrollment: None Requisites:",BME 5,Introduction to Biotechnology,"Introduces the tools and applications of biotechnology in the fields of medicine, agriculture, the environment, and industry."
178,BIO 41T Biotechnology Fundamentals,"Presents the field of biotechnology and teaches fundamental skills required to obtain employment in biotechnology. Topics include careers in biotechnology, basic laboratory skills and equipment use, DNA isolation and manipulation, DNA technology, keeping a notebook, safety, scientific literacy, and report writing. May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",BME 5,Introduction to Biotechnology,"Introduces the tools and applications of biotechnology in the fields of medicine, agriculture, the environment, and industry."
179,ENGR 35 Statics,"Analyzes force systems on rigid bodies in static equilibrium using two- and three-dimensional models and vector and scalar analysis methods. Topics include distributed force systems, friction, couples, moments; shear and bending moment diagrams; analysis of trusses, frames, and beams; centroids/center of mass; area and mass moment of inertia. Optional topics include cables, Mohr's circle, and virtual work. May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",ECE 9,Statics and Mechanics of Materials,"Theory and application of statics and mechanics of materials for mechanical and biomechanical systems. Covers statics of particles; equilibrium of rigid bodies; free-body diagrams; analysis of structure; friction; concepts of stress and strain; axial loading; torsion and bending; and failure criteria. (Formerly Introduction to Statics, Dynamics, and Biomechanics.)"
180,ENGR 36 Dynamics,"Analyzes motion of particles and rigid bodies. Topics include kinematics of particle motion; Newton's second law, work-energy and momentum methods; kinematics of planar motions of rigid bodies; work-energy and momentum principles for rigid body motion. Spring semester only. May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",ECE 10,Fundamentals of Robot Kinematics and Dynamics,"Covers the theory and application of mathematical models to analyze the kinematics and dynamics of robot mechanisms or their components using vector algebra, differential equations, and computer simulations; also covers robot vehicle kinematics, robot arm kinematics, and robot dynamics with computational examples and problems. Some basic programming skills and familiarity with MATLAB are expected. (Formerly CMPE 10.)"
181,"BIO 9A Molecular, Cellular, and Animal Biology","Covers principles and applications of cell biology, molecular biology, and animal biology. Examines principles and applications of prokaryotic and eukaryotic cell structure and function, biological molecules, homeostasis, cell reproduction and its controls, molecular genetics, classical/Mendelian genetics, cell metabolism, respiration, and cellular communication. Includes a survey of the form, function, and diversity of animals, and examines the basic principles governing the evolution of organisms. The philosophy of science, methods of scientific inquiry, and experimental design are foundational to this course. Students will conduct research projects, engage in hands-on laboratory experiments, and use specimens to explore the diversity of organisms. May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",BME 21L,Introduction to Basic Laboratory Techniques,"Laboratory course providing hands-on training in fundamental techniques used to express, isolate, and analyze genes in prokaryotic cells. Introduction to common laboratory instruments and fundamental skills required for basic research in molecular biology and biomolecular engineering."
182,PS 2 Comparative Government,"Examines and compares a diverse selection of the world's political and economic systems. The specific selection of country case studies varies, and is selected from Great Britain, Japan, Germany, Russia, China, India, Iraq, Iran, South Africa, and Mexico. Each country case study will focus on the common themes of political history, key institutions, political cultures, political participation, major contemporary political, economic, and social issues, and the impacts of global forces on these political and economic systems. May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites: None Additional Requisite Information: None Toggle Additional Course Details Grade Options: Letter Grade Methods Pass/No Pass Fees: None Repeatability: Not repeatable Toggle General Education and Transfer Options",POLI 60,Comparative Politics,Introduces the study of politics through the analysis of national political systems within or across regions from the developing world to post-industrial nations. Typical topics include: authoritarian and democratic regimes; state institutions and capacity; parties and electoral systems; public policies; social movements; ethnic conflict; and globalization.
183,PHYS 2B Physics for Life Sciences II,"Covers electromagnetism, optics, relativity, and the atom primarily for life science students. Spring semester only. Some of the class hours for this course may be scheduled as To Be Arranged (TBA). May be offered in a distance-learning format.",PHYS 1A,Physics for Everyone,"Explores some of the great topics in classical and modern physics, including relativity, and the connections to a broad range of inquiry, from daily life to cosmology. Math, mainly algebra, is used in a way that is completely accessible to everyone. No previous knowledge of physics is necessary."
184,PHYS 2A Physics for Life Sciences I,"Covers mechanics, thermodynamics and waves primarily for life science students. Fall semester only. Some of the class hours for this course may be scheduled as To Be Arranged (TBA). May be offered in a distance-learning format.",PHYS 1A,Physics for Everyone,"Explores some of the great topics in classical and modern physics, including relativity, and the connections to a broad range of inquiry, from daily life to cosmology. Math, mainly algebra, is used in a way that is completely accessible to everyone. No previous knowledge of physics is necessary."
185,PHYS 11 Introduction to Physics for Scientists and Engineers,Prepares primarily science and engineering students for the PHYS 4 sequence. Some of the class hours for this course may be scheduled as To Be Arranged (TBA). May be offered in a distance-learning format.,PHYS 1A,Physics for Everyone,"Explores some of the great topics in classical and modern physics, including relativity, and the connections to a broad range of inquiry, from daily life to cosmology. Math, mainly algebra, is used in a way that is completely accessible to everyone. No previous knowledge of physics is necessary."
186,PHYS 10 Conceptual Physics,Covers conceptual topics in physics for the non-science major. May be offered in a distance-learning format.,PHYS 1A,Physics for Everyone,"Explores some of the great topics in classical and modern physics, including relativity, and the connections to a broad range of inquiry, from daily life to cosmology. Math, mainly algebra, is used in a way that is completely accessible to everyone. No previous knowledge of physics is necessary."
