,CCC Course,CCC Description,UCSC Course Code,UCSC Course Title,UCSC Description
10,TA 13B Intermediate Improvisation,Explores improvisation at an intermediate level deepening the experience with a wider variety of improvisational techniques and their applications. Some of the class hours for this course may be scheduled as To Be Arranged (TBA). May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:,THEA 20,Introductory Studies in Acting,Introduction to basic acting skills and the problems of performance. Concentrates on expanding a range of expression and ability to respond to and analyze dramatic text. Designed for students with little or no experience in acting.
11,TA 28 Backstage Theatre,"Surveys all components of theater technology (stagecraft) in lighting, sound, scenery, painting, costumes, stage management, makeup, and properties. May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites: None Additional Requisite Information: None Toggle Additional Course Details Grade Options: Letter Grade Methods Pass/No Pass Fees: Materials fee may apply. Repeatability: Not repeatable Toggle General Education and Transfer Options",THEA 10,Introduction to Theater Design and Technology,"Addresses imagination and creativity. Using the framework of theater production, students explore the process of translating a script into a performance. Topics include visual literacy, creative problem solving, establishing effective working teams, tear sheets, storyboarding, drawing, sound and color theory. This course is a"
12,TA 31 Introduction to Design in the Theatre,"Presents a wide exploration of design for the theatre including projects in set, costume, lighting, and sound design. This course may be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites: None Additional Requisite Information: None Toggle Additional Course Details Grade Options: Letter Grade Methods Pass/No Pass Fees: Materials fee may apply. Repeatability: Not repeatable Toggle General Education and Transfer Options",THEA 10,Introduction to Theater Design and Technology,"Addresses imagination and creativity. Using the framework of theater production, students explore the process of translating a script into a performance. Topics include visual literacy, creative problem solving, establishing effective working teams, tear sheets, storyboarding, drawing, sound and color theory. This course is a"
13,DANCE 4 Contemporary Modern Dance I,"Introduces the foundations of current physical and expressive beginning dance techniques by focusing on basic skills, musicality, and the art of dance. Improves kinesthetic abilities, engage the imagination, and build flexibility, strength and alignment. May be offered in a distance-learning format. CAB GE E, CSU GE E (Beg. F&#39;13- may be used to meet Area E if combined with other non-activity Area E units from the CG or NUTR (CAHM) departments). Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",THEA 30,Introduction to Dance Theory and Technique,"Intensive instruction in developing the dancer's mind/body, with introduction to movement theory and practice."
14,DANCE 7 Ballet I,"Introduces basic techniques and principles of ballet through barre, center floor work, and across-the-floor combinations while acquainting the student with the aesthetics, history, and tradition of classical ballet. May be offered in a distance-learning format. CAB GE E, CSU GE E (Beg. F&#39;13- may be used to meet Area E if combined with other non-activity Area E units from the CG or NUTR (CAHM) departments). Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",THEA 30,Introduction to Dance Theory and Technique,"Intensive instruction in developing the dancer's mind/body, with introduction to movement theory and practice."
15,DANCE 5 Contemporary Modern Dance II,"Teaches intermediate contemporary modern dance technique, develops personal expression and musicality, improves alignment, body awareness, and conditioning while performing longer and more challenging movement combinations to live music. May be offered in a distance-learning format. CAB GE E, CSU GE E (Beg. F&#39;13- may be used to meet Area E if combined with other non-activity Area E units from the CG or NUTR (CAHM) departments). Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",THEA 30,Introduction to Dance Theory and Technique,"Intensive instruction in developing the dancer's mind/body, with introduction to movement theory and practice."
16,DANCE 68 Advanced Dance Technique and Performance Skills,"Refines contemporary modern dance technique and performing skills while learning more complex patterns of movement, embodiement of alignment, flexibilty, strength, and energy flow with live dance accompaniment.  May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites: None Additional Requisite Information: None Toggle Additional Course Details Grade Options: Letter Grade Methods Pass/No Pass Fees: None Repeatability: Not repeatable Toggle General Education and Transfer Options Toggle Learning Outcomes Upon successful completion of this course, students should be prepared to: 1. Demonstrate with an increasing degree of proficiency, mastery and control of the body in space, while performing choreography and improvisations based on themes. Toggle Units and Hours Minimum .5 Units - Maximum 3 Units Minimum Credit Units 0.5 Total Course In-Class (Contact) Hours 18.0 - 108.0 Maximum Credit Units 3.0 Detail Weekly Student Hours In Class Lecture Hours 0.0 - 0.0 Lab Hours 1.0 - 6.0 Activity Hours 0.0 - 0.0 Course Student Hours Course Duration (Weeks) 18.0 Hours per unit divisor 54.0 Course In-Class (Contact) Hours Lecture 0.0 - 0.0 Lab 18.0 - 108.0 Activity 0.0 - 0.0 Total 18.0 - 108.0 See Open Sections Connect with an Academic Counselor",THEA 30,Introduction to Dance Theory and Technique,"Intensive instruction in developing the dancer's mind/body, with introduction to movement theory and practice."
17,DM 1 Introduction to Digital Media,"Explores industry-standard software as a tool to create visual solutions to a number of graphic design problems. Topics focus on the application of design principles and elements, color theory, typographic design, creative problem-solving, and production practices to visually communicate messages and experiences. Students explore successful visual design solutions with a wide range of digital media tools and techniques for print, screen, and interactive media. May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites: None Additional Requisite Information: None Toggle Additional Course Details Grade Options: Letter Grade Methods Pass/No Pass Fees: None Repeatability: Not repeatable Toggle General Education and Transfer Options",ART 20K,Introduction to New Media and Digital Artmaking,"Introduces digital and new media art practice. Explores the use of the computer as tool and medium. Provides a hands-on introduction to the fundamentals of graphics; digital-image acquisition and manipulation; video; web design; and computer programming. Lectures, readings, and discussions examine the history of technology artwork and technology's relationship to contemporary culture."
18,AP 9A Black and White Photography I,Description not found,ART 20I,Introduction to Photography,"Introduces basic skills and conceptual development in photography and related digital media through image-making in the field, on the web, and in laboratories, through readings, discussions, and critiques."
19,AP 9B Black and White Photography II,Description not found,ART 20I,Introduction to Photography,"Introduces basic skills and conceptual development in photography and related digital media through image-making in the field, on the web, and in laboratories, through readings, discussions, and critiques."
20,AP 14 Introduction to Video Art,Description not found,FILM 20P,Introduction to Production Technique,"Introduction to the production processes of visual/aural, time-based, creative work. Students work on a range of creative projects: performed, written, photographed, and created digitally. Assignments emphasize imaginative problem-solving, collaboration, visualization, and critical media literacy."
21,ART 32A Printmaking: Etching and Intaglio,"Teaches intaglio printmaking techniques in etching, drypoint, and monoprint. May be offered in a distance-learning format. Transfer Information: Transferable to both UC and CSU Limitations on Enrollment: None Requisites:",ART 26,INTRODUCTION TO PRINTMAKING,Description not found
