,VCCS Course,VCCS Description,W&M Course Code,W&M Course Title,W&M Description
569,MUS 226 WORLD MUSIC,"Explores music emanating from cultural traditions around the world within their respective socio-cultural contexts. Introduces basic elements of music. Increases global awareness and enhances knowledge of the origins, evolution, aesthetics and purposes of music from an ethnomusicological perspective. This is a Passport and UCGS transfer course.",MUSC 241,Worlds of Music,"ALV CSI This course introduces students to musical cultures of the non-Western world. Topics include: native concepts about music, instruments, aesthetics, genres, relationship to community life, religion, music institutions, and patronage. Course goals will be to develop skills useful for a cross-cultural appreciation and analysis of music, and to bring questions about music into the domain of the humanities and social sciences. Cross-listed with: ANTH 241"
570,MUS 227 EDITING AND MIXDOWN TECHNIQUES,"Introduces the theory and practice of digital editing and mixdown techniques.  Provides the skills necessary to edit, mixdown, externally reprocess, and otherwise manipulate multi-track original recordings into finished master recordings.",MUSC 281,Introduction to Computer Music and Electroacoustics,"ALV CSI, NQR Introduction to Computer Music and Electroacoustics explores basic concepts of sound synthesis and audio recording as well as computer-based digital editing, effects processing, and introductory programming through class demonstrations, hands-on workshops, and creative projects. You will learn to use several software applications, such as Adobe Audition, Ableton Live, and AudioMulch, to compose short pieces with a variety of techniques."
571,MUS 231 ADVANCED CLASS VOICE I,ContinuesMUS 131-132. Continues the expansion of appropriate vocal repertoire.  Part I of II.,,,
572,MUS 232 ADVANCED CLASS VOICE II,ContinuesMUS 131-132. Continues the expansion of appropriate vocal repertoire.  Part II of II.,,,
573,MUS 235 ADVANCED RECORDING TECHNIQUES,"Introduces advanced digital recording techniques that lead to mix downs and digital masters for commercial CD duplication, other digital media and on-line distribution.  Provides knowledge and skills in refined areas of digital multi track recording and mixdown techniques.  Includes a study of the process which converts finished digital masters to compact discs and digital files suitable for retail release.  Studies trouble shooting skills pertaining to digital audio workstations.",MUSC 281,Introduction to Computer Music and Electroacoustics,"ALV CSI, NQR Introduction to Computer Music and Electroacoustics explores basic concepts of sound synthesis and audio recording as well as computer-based digital editing, effects processing, and introductory programming through class demonstrations, hands-on workshops, and creative projects. You will learn to use several software applications, such as Adobe Audition, Ableton Live, and AudioMulch, to compose short pieces with a variety of techniques."
574,MUS 236 ADVANCED APPLIED MUSIC – VOICE,"ContinuesMUS 126. Private lessons are available for either 1 or 2 hours of credit per semester. The length of the lessons will be 1/2 hour for 1 hour credit and 1 hour for 2 hours credit per semester. All courses in applied music may be repeated for a total of 8 hours for the major and 4 hours for the minor. Laboratory 1-2 hours per week. &MUS 237CHORUS (1 CR.) ContinuesMUS 137. Courses in ensemble consist of performance from the standard repertoires, including study of ensemble techniques and interpretation. May be repeated for credit.",,,
575,MUS 237 CHORUS ENSEMBLE,"Courses in ensemble consist of performance from the standard repertoires, including study of ensemble techniques and interpretation. May be repeated for credit.  ContinuesMUS 137.",,,
576,MUS 238 SMALL VOCAL ENSEMBLE,"Ensemble consist of performance from the standard repertoires, including study of ensemble techniques and interpretation. Divisional approval required. May be repeated for credit. ContinuesMUS 138.",,,
577,MUS 241 ADVANCED CLASS PIANO I,"Teaches advanced applications of keyboard fundamentals and technical skills. Includes exercises in intervals, triads, all major and minor scales, and simple and compound meters. Uses advanced repertoire.  Part I of II.",,,
578,MUS 242 ADVANCED CLASS PIANO II,"Teaches advanced applications of keyboard fundamentals and technical skills. Includes exercises in intervals, triads, all major and minor scales, and simple and compound meters. Uses advanced repertoire.  Part II of II.",,,
579,MUS 245 ADVANCED APPLIED MUSIC – KEYBOARD,Continues Applied Music - KeyboardMUS 145. Private lessons are available for either 1 or 2 hours of credit per semester. The length of the lessons will be 1/2 hour for 1 hour credit and 1 hour for 2 hours credit per semester. All courses in applied music may be repeated for a total of 8 hours for the major and 4 hours for the minor.,,,
580,MUS 248 ORCHESTRA,"Ensemble consist of performance from the standard repertoires, including study of ensemble techniques and interpretation. Divisional approval required. May be repeated for credit. ContinuesMUS 148.",,,
581,MUS 249 BAND ENSEMBLE,"Ensemble consist of performance from the standard repertoires, including study of ensemble techniques and interpretation. Divisional approval required. May be repeated for credit. ContinuesMUS 149.",,,
582,MUS 255 ADVANCED APPLIED MUSIC – WOODWINDS,Continues Applied Music - WoodwindsMUS 155. Private lessons are available for either 1 or 2 hours of credit per semester. The length of the lessons will be 1/2 hour for 1 hour credit and 1 hour for 2 hours credit per semester. All courses in applied music may be repeated for a total of 8 hours for the major and 4 hours for the minor.,,,
583,MUS 259 ADVANCED IMPROVISATIONAL TECHNIQUES,"Error: HTTPSConnectionPool(host='courses.vccs.edu', port=443): Read timed out. (read timeout=10)",,,
584,MUS 265 ADVANCED APPLIED MUSIC – STRINGS,Continues Applied Music - StringsMUS 165. Private lessons are available for either 1 or 2 hours of credit per semester. The length of the lessons will be 1/2 hour for 1 hour credit and 1 hour for 2 hours credit per semester. All courses in applied music may be repeated for a total of 8 hours for the major and 4 hours for the minor.,,,
585,MUS 275 ADVANCED APPLIED MUSIC – BRASS,"Continues Applied Music BrassMUS 175. Private lessons are available for either 1 or 2 hours of credit per semester. The length of the lessons will be 1/2 hour for 1 hour credit and 1 hour for 2 hours credit per semester. All courses in applied music may be repeated for a total of 8 hours for the major and 4 hours for the minor. Laboratory 1-2 hours per week. &MUS 276BRASS ENSEMBLE (1 CR.) Continues Brass EnsembleMUS 176. Courses in ensemble consist of performance from the standard repertoires, including study of ensemble techniques and interpretation. May be repeated for credit.",,,
