,VCCS Course,VCCS Description,W&M Course Code,W&M Course Title,W&M Description
586,MUS 285 ADVANCED APPLIED MUSIC – PERCUSSION,"Continues Applied Music - PercussionMUS 185. Private lessons are available for either 1 or 2 hours of credit per semester. The length of the lessons will be 1/2 hour for 1 hour credit and 1 hour for 2 hours credit per semester. All courses in applied music may be repeated for a total of 8 hours for the major and 4 hours for the minor. Laboratory 1-2 hours per week. &MUS 286PERCUSSION ENSEMBLE (1 CR.) Continues Percussion EnsembleMUS 186. Courses in ensemble consist of performance from the standard repertoires, including study of ensemble techniques and interpretation. May be repeated for credit.",,,
587,NAS 130 ELEMENTS OF ASTRONOMY,"Error: HTTPSConnectionPool(host='courses.vccs.edu', port=443): Read timed out. (read timeout=10)",PHYS 171,Planetary and Stellar Astronomy,"NQR ALV, CSI This course is intended for anyone interested in learning about planetary and stellar astronomy. (Galactic astronomy and cosmology are covered in PHYS 172: Stellar and Galactic Astronomy and Cosmology.) In addition to our coverage of the scientific ground of the subject, we will also discuss the technological advances that have made major discoveries possible. Along the way, we will include two interludes of a weekâs duration each that will allow us to explore the wider historical context of the material, via exploration of historical periods that have important Astronomy events in them and also connections to Theater through analysis of the play âGalileoâ by Bertolt Brecht and Copenhagen by Michael Frayn."
588,NAS 131 ASTRONOMY I,"Introduces astronomy of the solar system, including the Sun, planets, their satellites, and other solar system objects. Includes discussions of the development of astronomy through the ages, recent discoveries, and experience with the types of mathematical exercises and observational skills essential for an understanding of the fundamental principles of solar system astronomy. Assignments require fluency in arithmetic, unit conversion, basic algebra, geometry, and trigonometry.  This course is cross-listed withPHY 141. Credit will not be awarded for both.",PHYS 171,Planetary and Stellar Astronomy,"NQR ALV, CSI This course is intended for anyone interested in learning about planetary and stellar astronomy. (Galactic astronomy and cosmology are covered in PHYS 172: Stellar and Galactic Astronomy and Cosmology.) In addition to our coverage of the scientific ground of the subject, we will also discuss the technological advances that have made major discoveries possible. Along the way, we will include two interludes of a weekâs duration each that will allow us to explore the wider historical context of the material, via exploration of historical periods that have important Astronomy events in them and also connections to Theater through analysis of the play âGalileoâ by Bertolt Brecht and Copenhagen by Michael Frayn."
589,NAS 132 ASTRONOMY II,"Introduces astronomy of the stars, including the Sun, celestial objects, stellar formation and death and cosmology, and the study of the universe as a whole. Includes discussions of the development of astronomy through the ages, recent discoveries and experience with the types of mathematical principles employed and the astronomical observational skills essential for an understanding of the fundamental principles of astronomy and cosmology. Assignments require fluency in arithmetic, unit conversion, basic algebra, geometry, and trigonometry.  This course is cross-listed withPHY 142. Credit will not be awarded for both.",,,
590,NAS 145 INTRODUCTION TO NATURAL HISTORY,Description not found,,,
591,NAS 150 HUMAN BIOLOGY,Surveys the structure and function of the human body. Applies principally to students who are not majoring in the health or science fields.,,,
592,NAS 160 FIELD ORNITHOLOGY,"Error: HTTPSConnectionPool(host='courses.vccs.edu', port=443): Read timed out. (read timeout=10)",,,
593,NAS 161 HEALTH SCIENCE I,Description not found,,,
594,NAS 162 HEALTH SCIENCE II,Description not found,,,
595,NAS 171 HUMAN ANATOMY & PHYSIOLOGY I,Presents the human organ systems and their functions as they relate to allied health science.  Part I of II. This course applies to career/technical education (CTE) programs.BIO 141/142 andBIO 231/232 serve both transfer and CTE programs.,KINE 304,Human Physiology,Prerequisite(s): KINE 200 or BIOL 204 or BIOL 203 . NQR Detailed study of the manner in which different organ systems of the human body function.
